,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/01/03,"15,530,936","520,067,339",33.65,33.71,33.35,33.42,-0.16,"11,098"
1,111/01/04,"8,794,918","293,951,620",33.42,33.50,33.39,33.41,-0.01,"6,172"
2,111/01/05,"8,753,519","292,597,130",33.41,33.50,33.35,33.45,+0.04,"6,365"
3,111/01/06,"14,111,185","471,427,177",33.40,33.50,33.31,33.41,-0.04,"12,402"
4,111/01/07,"26,021,518","864,672,620",33.51,33.59,33.11,33.17,-0.24,"23,220"
5,111/01/10,"10,192,455","338,623,684",33.25,33.30,33.12,33.27,+0.10,"7,659"
6,111/01/11,"13,994,292","464,750,960",33.29,33.29,33.16,33.20,-0.07,"11,797"
7,111/01/12,"21,714,458","719,677,074",33.31,33.38,33.05,33.10,-0.10,"18,171"
8,111/01/13,"11,159,495","370,483,661",33.10,33.28,33.10,33.20,+0.10,"6,701"
9,111/01/14,"27,673,276","913,062,145",33.22,33.22,32.86,33.15,-0.05,"19,049"
10,111/01/17,"13,122,766","435,183,214",33.15,33.23,33.05,33.22,+0.07,"10,672"
11,111/01/18,"32,694,225","1,093,618,452",33.28,33.52,33.24,33.45,+0.23,"14,543"
12,111/01/19,"17,417,032","579,694,741",33.25,33.39,33.16,33.21,-0.24,"12,326"
13,111/01/20,"12,683,938","422,311,633",33.20,33.38,33.18,33.36,+0.15,"8,727"
14,111/01/21,"45,772,132","1,506,178,052",33.14,33.14,32.80,32.84,-0.52,"32,338"
15,111/01/24,"33,551,885","1,091,241,268",32.63,32.72,32.26,32.72,-0.12,"23,683"
16,111/01/25,"43,001,010","1,390,849,624",32.50,32.53,32.26,32.34,-0.38,"33,101"
17,111/02/07,"20,463,646","668,494,771",32.53,33.00,32.48,33.00,+0.60,"15,902"
18,111/02/08,"18,963,931","629,898,369",33.06,33.31,33.04,33.30,+0.30,"10,910"
19,111/02/09,"17,732,982","593,104,278",33.40,33.50,33.37,33.50,+0.20,"9,007"
20,111/02/10,"11,461,962","383,792,356",33.60,33.60,33.41,33.49,-0.01,"8,021"
21,111/02/11,"7,638,929","255,376,250",33.45,33.48,33.35,33.43,-0.06,"5,915"
22,111/02/14,"17,480,599","578,916,765",33.30,33.30,33.05,33.13,-0.30,"15,232"
23,111/02/15,"10,328,094","342,554,016",33.14,33.25,33.08,33.10,-0.03,"8,648"
24,111/02/16,"22,173,640","737,390,210",33.35,33.40,33.11,33.27,+0.17,"17,515"
25,111/02/17,"10,135,072","338,160,137",33.31,33.43,33.27,33.34,+0.07,"5,875"
26,111/02/18,"12,636,486","421,915,038",33.26,33.50,33.13,33.50,+0.16,"6,635"
27,111/02/21,"27,189,436","914,698,878",33.45,33.82,33.35,33.80,+0.30,"11,580"
