,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,112/05/02,"14,076,807","399,222,255",28.25,28.44,28.20,28.44,+0.21,"8,898"
1,112/05/03,"11,700,143","331,715,503",28.38,28.42,28.28,28.42,-0.02,"9,788"
2,112/05/04,"8,375,431","237,712,886",28.34,28.45,28.28,28.45,+0.03,"5,948"
3,112/05/05,"8,817,163","250,962,228",28.45,28.49,28.43,28.47,+0.02,"7,172"
4,112/05/08,"16,391,243","469,375,143",28.52,28.69,28.52,28.67,+0.20,"11,660"
5,112/05/09,"10,167,712","291,084,334",28.67,28.69,28.53,28.64,-0.03,"8,134"
6,112/05/10,"10,875,547","310,528,088",28.64,28.65,28.50,28.54,-0.10,"10,471"
7,112/05/11,"13,333,884","379,255,804",28.54,28.57,28.38,28.40,-0.14,"12,370"
8,112/05/12,"10,622,823","300,885,074",28.37,28.47,28.19,28.45,+0.05,"8,469"
9,112/05/15,"13,211,147","374,769,859",28.41,28.45,28.30,28.42,-0.03,"11,731"
10,112/05/16,"21,669,927","620,159,835",28.43,28.71,28.43,28.65,+0.23,"10,832"
11,112/05/17,"25,797,921","741,919,229",28.65,28.83,28.62,28.76,+0.11,"9,888"
12,112/05/18,"44,743,854","1,298,303,895",28.85,29.11,28.85,29.05,+0.29,"15,497"
13,112/05/19,"37,934,460","1,109,381,082",29.13,29.35,29.08,29.31,+0.26,"13,686"
14,112/05/22,"22,525,446","661,502,872",29.32,29.44,29.31,29.35,+0.04,"10,386"
15,112/05/23,"19,031,332","558,697,434",29.37,29.44,29.24,29.37,+0.02,"9,567"
16,112/05/24,"15,983,319","468,807,426",29.33,29.44,29.26,29.43,+0.06,"8,730"
17,112/05/25,"30,291,319","900,938,636",29.70,29.82,29.59,29.78,+0.35,"14,193"
18,112/05/26,"53,075,246","1,596,766,731",29.91,30.25,29.91,30.13,+0.35,"21,960"
19,112/05/29,"61,312,963","1,878,765,615",30.60,30.74,30.55,30.65,+0.52,"28,321"
20,112/05/30,"36,387,462","1,112,055,470",30.69,30.76,30.44,30.52,-0.13,"24,672"
21,112/05/31,"21,188,282","646,163,868",30.52,30.60,30.43,30.49,-0.03,"14,457"
