,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,112/07/03,"41,875,917","1,389,610,852",32.89,33.33,32.89,33.24,+0.57,"21,423"
1,112/07/04,"78,515,279","2,648,034,907",33.51,34.00,33.45,33.91,+0.67,"35,783"
2,112/07/05,"61,889,050","2,090,238,956",33.99,33.99,33.53,33.71,-0.20,"35,353"
3,112/07/06,"72,968,085","2,441,875,861",33.42,33.74,33.25,33.34,-0.37,"45,088"
4,112/07/07,"67,955,574","2,247,929,106",33.17,33.30,32.87,33.08,-0.26,"43,972"
5,112/07/10,"38,223,790","1,268,577,927",33.08,33.33,33.08,33.18,+0.10,"21,540"
6,112/07/11,"41,975,847","1,414,254,986",33.42,33.82,33.42,33.80,+0.62,"18,230"
7,112/07/12,"68,385,686","2,337,482,227",33.95,34.35,33.93,34.30,+0.50,"27,594"
8,112/07/13,"122,390,269","4,305,311,527",34.85,35.46,34.62,34.82,+0.52,"45,381"
9,112/07/14,"112,799,327","3,986,682,707",35.35,35.60,34.88,35.54,+0.72,"40,045"
10,112/07/17,"128,015,843","4,585,826,892",35.55,35.96,35.55,35.94,+0.40,"53,418"
11,112/07/18,"99,848,847","3,517,427,766",35.64,35.70,34.61,35.11,X0.00,"47,015"
12,112/07/19,"91,098,088","3,166,909,740",35.29,35.50,34.24,34.36,-0.75,"46,746"
