,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/12/01,"29,969,588","775,359,665",25.85,25.97,25.76,25.82,+0.17,"16,030"
1,111/12/02,"16,416,569","422,387,424",25.79,25.80,25.67,25.73,-0.09,"11,834"
2,111/12/05,"21,764,889","562,682,783",25.73,25.95,25.73,25.87,+0.14,"14,612"
3,111/12/06,"32,699,363","840,743,545",25.87,25.87,25.60,25.61,-0.26,"25,416"
4,111/12/07,"27,415,598","697,861,353",25.52,25.58,25.33,25.44,-0.17,"19,268"
5,111/12/08,"23,188,831","586,226,702",25.42,25.42,25.17,25.29,-0.15,"16,204"
6,111/12/09,"12,305,807","313,580,500",25.41,25.52,25.40,25.51,+0.22,"6,459"
7,111/12/12,"14,714,212","373,141,505",25.45,25.50,25.26,25.50,-0.01,"11,913"
8,111/12/13,"13,993,465","357,837,282",25.53,25.62,25.50,25.53,+0.03,"8,926"
9,111/12/14,"11,454,095","294,034,744",25.56,25.72,25.56,25.68,+0.15,"6,732"
10,111/12/15,"14,186,994","364,603,482",25.68,25.79,25.63,25.70,+0.02,"9,189"
11,111/12/16,"30,005,466","766,058,417",25.46,25.78,25.37,25.70, 0.00,"18,568"
12,111/12/19,"13,486,811","347,053,647",25.69,25.81,25.58,25.73,+0.03,"9,239"
13,111/12/20,"31,412,889","800,143,252",25.69,25.72,25.29,25.30,-0.43,"22,604"
14,111/12/21,"12,111,056","307,013,743",25.35,25.40,25.31,25.34,+0.04,"8,416"
15,111/12/22,"10,953,757","280,582,154",25.50,25.69,25.48,25.67,+0.33,"6,287"
16,111/12/23,"8,332,974","212,783,451",25.49,25.61,25.41,25.60,-0.07,"7,562"
17,111/12/26,"12,787,131","326,824,544",25.60,25.63,25.52,25.58,-0.02,"12,128"
18,111/12/27,"8,137,307","208,854,311",25.60,25.70,25.60,25.63,+0.05,"6,354"
19,111/12/28,"27,215,693","691,144,688",25.55,25.55,25.30,25.38,-0.25,"19,429"
20,111/12/29,"19,445,546","489,725,913",25.22,25.36,25.09,25.29,-0.09,"14,088"
21,111/12/30,"8,002,875","203,546,134",25.46,25.50,25.40,25.40,+0.11,"5,957"
